name,officer_id,portrait_id
Cao Cao,0,103
Liu Bei,1,161
Sun Jian,2,1
Yuan Shao,3,3
Yuan Shu,4,74
Ma Teng,5,140
Liu Yan,6,156
Liu Biao,7,160
Dong Zhuo,8,134
Gongsun Zan,9,64
Tao Quian,10,132
Hain Fu,11,40
Kong Rong,12,67
Wang Lang,13,10
Liu Yong,14,193
Xu Rong,15,90
Li Jue,16,165
Gao Pei,17,37188
Liu Zhang,18,158
Gongsun Yue,19,63
Tian Feng,20,130
Yuan Xi,21,109
Yuan Tan,22,88
Yuan Shang,23,16
Guo Tu,24,19
Yan Liang,25,43
Gao Gan,26,55517
Gao Lan,27,53101
Jiao Chu,28,58058
Pan Feng,29,40404
Shen Pei,30,78
Zhang Yi,31,45284
Ju Shou,32,105
Chen Gong,33,124
Xiahou Yuan,34,21
Xiahou Dun,35,25
Cao Hong,36,96
Cao Ang,37,97
Cao Ren,38,102
Yue Jin,39,196
Guan Yu,40,30
Zhang Fei,41,120
Kuai Liang,42,12
Yuan Yin,43,177
Kuai Yue,44,11
Cao Chun,45,101
Jia Xue,46,14
Wang Kang,47,35661
Han Song,48,36
Xu Jing,49,45
Huang Zhu,50,62
Jia Hua,51,64355
Lu Bu,52,163
Yu Fan,53,54
Cheng Pu,54,128
Sun Ce,55,2
Huang Gai,56,59
Han Sui,57,35
Han Dang,58,52435
Han Ze,59,37
Ji Ling,60,48
Cai Mao,61,71
Yan Yan,62,57
Zhu Zhi,63,38628
Han Xian,64,59995
Song Zhong,65,56781
Xin Ping,66,40532
Zhang Zi,67,40525
Huang Quan,68,60
Hou Xuan,69,53093
Deng Yi,70,35557
Wen Pin,71,146
Gao Ding,72,66
Li Yan,73,28
Wu Lan,74,70
Cai Xun,75,56396
Liu Pan,76,63940
Hua Xiong,77,29
Zhu Ran,78,35397
Ding Feng,79,60097
Zhu Ling,80,52741
Zhong Yao,81,86
Guo Si,82,17
Yue Jiou,83,61037
Cheng Yin,84,36725
Zhang Nan,85,53221
Lu Gong,86,55873
Cao Bao,87,197
Sun Qian,88,107
Taishi Ci,89,111
Zhang Ying,90,49495
Zhang Xun,91,52301
Chen Zhen,92,174
Zhao Cen,93,32852
Wu Yi,94,69
Li Ru,95,167
Zhang Ren,96,118
Ma Yan,97,62148
Zhao Fan,98,194
Xiahou En,99,22
Wen Chou,100,145
Chen Deng,101,58449
Chen Wu,102,61029
Chen Lan,103,52997
Cheng Yi,104,63460
Zhou Tai,105,82
Feng Ji,106,187
Dong He,107,52472
Yi Ji,108,106
Dong Min,109,51405
Li Su,110,62628
Zhang He,111,115
Xu You,112,47
Mi Zhu,113,143
Mi Fang,114,44293
Wu Anquo,115,35189
Jiang Yiqu,116,53077
Fan Chou,117,180
Mao Jie,118,36797
Meng Da,119,198
Yang Huai,120,54228
Liu Gui,121,64708
Lei Tong,122,155
Liu Dai,123,53452
Wang Can,124,89
Liang Gang,125,51917
Ling Cao,126,183
Lu Kai,127,65505
Lu Yi,128,34384
Hu Zhen,129,34404
Li Yi,130,185
Leng Bao,131,35453
Wang Kuang,132,39156
Hu Xin,133,13
Li Tong,134,44829
Li Dian,135,40573
Li Feng,136,65220
Lei Bo,137,36845
Zhang Miao,138,32980
Zhang Yun,139,61424
Lu Jian,140,39028
Yang Qiu,141,38596
Li Gui,142,60481
Wang Lei,143,178
Zhang Ji,144,41039
Song Xian,145,53460
Zhang Xiu,146,200
Lu Fan,147,59496
Huang Wan,148,46049
Lu Qian,149,40813
Zhang Lu,150,123
Yang Feng,151,154
Zhang Song,152,117
Yuan Pu,153,190
Xun Yu,154,6
Xun You,155,7
Zhang Liao,156,122
Yu Jin,157,192
Zhou Yu,158,5
Lu Meng,159,8
Guo Jia,160,4
Xu Huang,161,91
Wang Kai,162,58318
Guo Huai,163,35969
Xiahou Mao,164,53165
Cheng Yu,165,127
Dian Wei,166,129
Huan Cheng,167,65228
Ma Chao,168,138
Man Chong,169,150
Chen Jiao,170,191
Hao Meng,171,52208
Wei Yan,172,52
Xu Si,173,33812
Wei Xu,174,62932
Hou Cheng,175,61
Ma Tie,176,139
Wang Wei,177,38092
Huo Jun,178,60408
Zhou Cang,179,73
Chen Xi,180,33836
Chunyu Qiong,181,65239
Zhao Yun,182,113
Zhang Heng,183,172
Gong Zhi,184,49092
Wang Zhong,185,64563
Gao Shun,186,61620
Jian Yong,187,52120
Zhang Hing,188,40557
Li Hui,189,181
Xu Shu,190,92
Ma Dai,191,189
Pang De,192,149
Liang Xing,193,35213
Deng Qian,194,61251
Fei Shi,195,56465
Wang Xiu,196,49378
Han Hao,197,53231
Ma Wan,198,35531
Fu Gan,199,36312
Yang Ang,200,42479
Du Xi,201,57037
Yang Ping,202,52821
Yang Song,203,65036
Yang Ren,204,51437
Yang Bai,205,55860
Gan Ning,206,39
Fa Zheng,207,147
Pang Tong,208,148
Liu Du,209,195
Dong Heng,210,176
Xin Pi,211,87
Liu Ye,212,162
Pan Zhang,213,64621
Gu Yong,214,42737
Liu Ba,215,53729
Song Qian,216,55677
Li Zhan,217,54484
Lu Chang,218,36853
Liao Hua,219,61484
Sun Quan,220,108
Ma Xiu,221,136
Liu Zong,222,169
Lu Su,223,168
Liu Qi,224,157
Sima Yi,225,79
Dong Xi,226,55914
Sun Yu,227,63524
Ling Tong,228,182
Zhang Zhao,229,116
Lu Ji,230,49368
